"name","artist","bpm","key","genre"
"08/03/2019","","","",""
"Born Slippy (Reincarnation Mix)","Andrew Meller","125","Gm","Tech House"
"Truganini (Original Mix)","Reset Robot","125","Cm","Tech House"
"Electronic Drums (Original Mix)","Huxley, Skapes","124","Fm","Tech House"
"Wa Is Da Wa (Original Mix)","Blond:ish","124","Bbm","Tech House"
"The Solution (Original Mix)","CamelPhat","124","Ebm","Tech House"
"Call (Honey Bunny Remix)","Techno Mama","124","G#m","Tech House"
"Welcome To My Planet (Original Mix)","Thompson, Jens Lissat","124","C#m","Tech House"
"Boyz In Da Hood (Camelphat Remix)","Wade","124","F#m","Tech House"
"Terrace (Original Mix)","Andrea Oliva","124","Bm","Tech House"
"Finder (Carl Cox Remix)","Ninetoes","126","Em","Tech House"
"Humano (Victor Ruiz Remix)","Oliver Huntemann, Dubfire","125","Am","Techno"
"Shake It (Nic Fanciulli Edit)","Lee Cabrera & Thomas Gold","126","Dm","Tech House"
"Perplex (Original Mix)","Budini & Mha Iri","125","Gm","Techno"
"Wet Glue (Original Mix)","Michael Bibi","125","Cm","Tech House"
"I Make You Go (Original Mix)","Max Chapman","126","Fm","Tech House"
"Doctor Zouk (Original Mix)","Jamie Jones & David Berrie","127","Bbm","Tech House"
"Needin' U (Riva Starr Remix)","David Morales, The Face","127","Ebm","Tech House"
"Sensation (Extended Mix)","Divolly & Markward, Nickobella","126","G#m","House"
"Dem A Pree (Patrick Topping Remix)","Raumakustik","127","Ebm","Tech House"
"Back (ItaloJohnson Remix)","Cassy","126","Ebm","Tech House"
"Weekend Warrior (Vocal Mix)","Karsten Sollors","125","G#m","Tech House"
"Whp (Original Mix)","DEL-30","124","Ebm","Techno"
"Overlap (Original Mix)","Alaia & Gallo","124","Bbm","Tech House"
"Put Your Back Into It (Original Mix)","Hauswerks & Doorly feat. Gene Farris","123","Fm","Tech House"
"Rhythm 94 (Original Mix)","Javi Bora, Bimi","124","Cm","Tech House"
"Kill 'Em With Da Boom (Original Mix)","Tuff London feat. Miss B","124","Gm","Tech House"
